P_si1_4-29	P_si1_4-30	P_si1_5-8	P_siNC_4-29	P_siNC_4-30	P_siNC_5-8
RP11-244B22.6	1	0	0	0	2	2
RP11-488I20.8	1	3	0	4	3	3
RP11-488I20.3	8	9	3	4	7	8
RP11-80F22.14	1	0	0	1	3	0
RP11-80F22.4	0	2	0	1	3	1
RP11-80F22.15	1	0	2	1	0	1
RP11-14K3.7	1	1	2	2	2	1
5S_rRNA	0	2	2	3	6	6
RP11-352B15.2	0	1	1	0	2	3
SHCBP1	1166	1161	1158	1113	877	938
RP11-46D6.1	43	44	30	42	32	28
VPS35	1926	2252	2070	2004	1876	1809
ORC6	457	451	441	476	412	398
RP11-480G7.1	0	0	1	0	0	0
MYLK3	8	8	18	8	10	18
C16orf87	140	194	153	142	160	161
GPT2	640	535	758	451	411	634
DNAJA2	1435	1601	1612	1247	1205	1094
RP11-169E6.1	0	5	2	1	3	0
RP11-169E6.4	1	0	2	1	2	1
NETO2	1389	1317	1538	1477	1178	1335
RP11-329J18.2	3	2	4	4	2	3
ITFG1	609	664	702	609	552	515
RP11-329J18.3	1	1	1	2	1	2
RP11-474B12.1	2	2	0	2	1	1
PHKB	678	778	769	705	655	658
RP11-523L20.2	5	1	4	3	7	6
AC140542.2	2	7	1	1	4	2
RP11-523L20.1	0	3	1	1	0	1
ABCC12	11	10	11	6	14	9
ABCC11	12	21	15	16	18	28
LONP2	830	865	846	633	632	591
SIAH1	89	102	100	107	93	123
N4BP1	515	525	541	590	523	556
RP11-44I10.3	4	2	4	2	4	3
CTC-527H23.2	0	1	0	1	0	0
RP11-42I10.1	3	5	7	1	4	12
CTC-527H23.3	2	1	0	1	2	0
CTC-527H23.4	0	0	0	1	0	2
RP11-22D3.1	2	0	0	0	0	1
RP11-22D3.2	0	2	0	1	1	1
CBLN1	0	2	1	3	4	1
RP11-491F9.1	2	0	3	0	3	0
RP11-491F9.8	1	1	1	1	1	6
RP11-491F9.6	0	0	1	0	0	0
RP11-491F9.5	0	1	2	1	1	2
C16orf78	1	3	0	1	4	3
RP11-189E14.5	0	1	1	0	3	5
RP11-189E14.3	1	2	0	0	2	2
RP11-189E14.4	4	5	2	1	3	4
ZNF423	10	8	9	5	7	11
RP11-305A4.3	0	1	0	0	4	2
CNEP1R1	282	261	217	324	283	274
RP11-429P3.3	1	0	1	1	1	2
HEATR3	292	349	331	317	349	338
RP11-429P3.5	0	3	1	1	5	0
PAPD5	286	262	291	262	220	237
ADCY7	156	136	195	195	169	226
BRD7	994	1224	1008	703	783	732
RP11-21B23.1	0	3	0	0	1	0
RP11-21B23.2	1	1	0	1	0	1
RP11-21B23.3	0	0	2	1	1	5
NKD1	12	8	9	10	14	9
RP11-401P9.1	4	2	0	1	2	0
RP11-401P9.6	1	5	1	0	1	2
RP11-401P9.4	6	2	1	1	4	1
RP11-401P9.5	0	1	2	4	4	1
SNX20	1	1	1	4	4	2
NOD2	10	14	7	10	19	17
RP11-327F22.2	2	0	0	0	3	0
RP11-327F22.1	0	0	0	1	1	1
CYLD	340	340	319	373	352	317
RP11-327F22.4	2	0	0	1	2	3
RP11-327F22.5	1	1	0	1	3	1
CTD-2034I21.1	2	0	0	1	1	1
CTD-2034I21.2	1	0	1	1	2	1
RP11-883G14.1	1	1	1	1	2	1
RP11-883G14.2	2	2	1	1	1	3
RP11-883G14.3	0	1	1	1	0	3
RP11-883G14.4	2	1	1	0	1	2
SALL1	2	0	2	1	4	7
AC009166.5	1	0	1	0	1	1
RP11-437L7.1	3	2	1	0	0	3
RP11-7O14.1	2	3	2	3	5	3
C16orf97	2	6	2	3	7	6
RP11-152O14.4	1	0	0	0	1	1
LINC00919	2	3	1	1	0	2
RP11-152O14.1	3	1	0	0	1	0
RP11-142G1.3	0	0	1	0	2	0
RP11-142G1.1	0	1	2	0	3	1
RP11-142G1.2	1	0	2	1	2	2
TOX3	9	9	8	7	12	10
CASC16	4	2	2	3	3	2
RP11-297L17.2	3	1	2	5	4	4
RP11-297L17.3	0	0	1	0	0	1
RP11-297L17.4	2	0	2	0	1	0
RP11-467J12.4	2	1	0	2	2	1
CHD9	638	667	675	706	638	599
RP11-44F14.2	0	1	2	1	2	1
RP11-44F14.8	2	3	2	3	3	6
RBL2	768	1121	836	695	836	654
AKTIP	408	513	442	397	402	335
RPGRIP1L	430	580	490	361	427	375
FTO	784	991	881	690	791	578
RP11-357N13.3	0	1	0	1	0	2
RP11-357N13.2	3	1	5	3	2	2
RP11-357N13.1	1	1	1	1	2	0
RP11-324D17.2	1	2	2	0	0	2
RP11-324D17.1	1	0	0	3	0	4
IRX3	454	416	471	391	332	295
RP11-434E6.2	4	4	1	2	4	2
RP11-1136G4.1	1	1	0	0	0	2
CRNDE	268	324	286	231	229	282
IRX5	75	67	71	83	79	49
CTD-3032H12.2	0	2	0	0	4	2
CTD-3032H12.1	0	0	0	3	0	0
RP11-26L20.3	1	0	2	2	1	5
IRX6	5	3	2	3	1	3
RP11-26L20.4	0	1	0	1	0	2
MMP2	1946	2213	1329	1776	1933	1080
RP11-212I21.2	1	2	1	4	2	3
LPCAT2	674	1140	722	759	952	629
RP11-212I21.4	6	11	8	4	9	8
CAPNS2	1	1	4	5	2	2
SLC6A2	7	5	10	13	7	9
CES1	29	32	43	27	30	43
CES5A	11	12	6	7	11	14
RP11-461O7.1	9	9	6	7	7	6
RP11-355E10.1	1	0	3	1	1	2
CTD-2050B12.1	1	5	1	0	1	1
GNAO1	471	631	302	687	806	325
CTD-2050B12.2	1	2	1	0	2	2
RP11-441F2.5	7	7	1	12	4	6
AMFR	1441	1510	1422	1512	1411	1334
RP11-413H22.2	0	0	0	0	1	0
NUDT21	1887	2036	1957	1859	1686	1677
OGFOD1	601	694	677	672	642	534
BBS2	393	498	379	401	467	378
MT4	0	2	1	0	0	2
MT3	3	3	2	2	2	3
MT2A	9989	7551	9859	13051	9461	11149
RP11-249C24.10	0	3	1	1	1	3
MT1E	1064	788	1185	1013	900	1100
AC026461.1	1	0	0	0	1	0
MT1M	2	2	4	3	5	1
MT1A	64	58	49	104	130	89
MT1B	0	0	1	1	0	0
MT1F	9	8	8	16	11	12
MT1G	2	0	2	1	1	1
MT1H	1	1	0	0	1	3
MT1X	132	145	151	171	175	225
RP11-343H19.1	3	5	4	4	3	1
NUP93	1667	1699	1703	1768	1364	1343
SLC12A3	10	8	7	6	14	8
HERPUD1	415	463	591	454	458	568
CETP	4	5	7	8	4	10
NLRC5	64	40	37	64	92	68
RP11-322D14.2	0	0	0	0	1	0
RP11-407G23.1	0	1	0	0	1	1
CPNE2	834	713	787	837	679	687
FAM192A	662	871	791	817	881	786
RSPRY1	997	1008	988	987	778	840
ARL2BP	619	588	591	638	454	504
PLLP	44	64	36	49	47	35
CCL22	1	5	5	5	4	6
CX3CL1	324	362	248	516	739	332
CCL17	2	1	1	1	5	3
CIAPIN1	1393	1216	1447	1601	1260	1391
COQ9	1015	1023	1062	911	879	778
POLR2C	1623	1595	1642	1180	1127	1094
DOK4	114	182	143	182	237	166
CCDC102A	199	144	168	181	150	157
GPR114	10	6	8	6	11	11
GPR56	898	621	1044	745	616	851
RP11-405F3.5	3	1	0	0	1	2
GPR97	5	16	12	7	13	14
RP11-405F3.4	5	3	0	0	3	3
CCDC135	5	13	8	9	10	14
KATNB1	409	435	406	413	337	304
KIFC3	1789	1322	1463	1587	1167	1227
CTD-2600O9.1	4	5	5	2	1	5
CNGB1	7	8	9	9	17	22
TEPP	2	2	2	3	6	8
ZNF319	311	245	326	315	274	268
USB1	1080	1219	1039	1325	1221	1126
MMP15	565	857	647	655	731	507
C16orf80	485	469	464	570	443	443
CTB-134F13.1	1	2	0	1	0	1
RP11-459F6.3	9	7	2	1	2	4
CSNK2A2	1216	1255	1173	839	765	733
RP11-459F6.1	1	1	0	3	0	1
CCDC113	132	165	152	122	115	109
PRSS54	4	2	2	1	4	6
GINS3	253	224	268	261	191	211
RP11-481J2.1	0	0	1	1	1	1
RP11-481J2.2	1	1	5	5	5	2
NDRG4	224	217	388	238	284	356
SETD6	323	342	329	354	313	263
CNOT1	5666	5786	5759	5975	5143	5127
SLC38A7	533	485	520	516	348	415
GOT2	1894	2186	2098	2321	1969	1882
RP11-410D17.2	3	3	2	3	8	5
RP11-700H13.1	1	1	3	0	0	3
RP11-105C20.2	3	0	5	3	0	4
RP11-430C1.1	3	2	5	4	10	4
RP11-354I13.2	1	3	0	1	1	2
RP11-354I13.1	0	0	0	0	1	0
CDH8	5	19	14	8	21	20
CTC-420A11.2	0	1	0	0	2	1
AC009110.1	1	0	1	0	2	2
RP11-368L12.1	1	2	0	1	4	4
RP11-2K6.2	1	1	1	1	0	0
RP11-370P15.2	1	1	0	0	2	0
RP11-21L1.1	1	2	2	1	0	1
RP11-744D14.2	2	1	1	1	1	1
AC012322.1	3	1	1	1	1	0
RP11-467L24.1	1	0	0	0	1	6
RP11-439I14.2	0	0	0	1	1	1
CDH11	11	8	7	13	20	12
RP11-95H3.1	2	3	0	0	2	0
RP11-256I9.2	1	4	2	0	1	2
RP11-256I9.3	2	1	1	1	1	1
LINC00922	6	9	4	1	4	9
RP11-351A20.1	1	2	0	3	3	1
RP11-351A20.2	1	0	0	0	2	3
RP11-513N24.1	4	6	1	1	2	6
CDH5	7	11	5	8	9	10
LINC00920	6	5	6	3	5	5
BEAN1	12	6	5	13	7	6
CTD-2258A20.5	1	1	0	2	2	1
RP11-403P17.5	0	0	0	0	1	1
AC132186.1	0	0	0	0	1	0
TK2	222	298	253	208	263	205
CKLF	30	21	29	41	34	22
CKLF-CMTM1	9	10	14	19	8	6
CMTM1	67	44	68	74	71	48
CMTM2	1	1	0	3	4	5
RP11-403P17.2	0	0	0	0	2	1
CMTM3	684	693	831	799	749	758
CMTM4	1250	1319	1465	1442	1401	1381
DYNC1LI2	2074	2511	2234	2229	2155	1913
RP11-63M22.1	0	1	0	0	0	0
RP11-61A14.4	1	0	3	0	6	2
CCDC79	3	6	1	2	9	2
NAE1	881	1020	993	888	818	818
RP11-61A14.1	3	3	3	1	2	3
CA7	7	8	5	10	11	7
PDP2	487	555	519	478	387	427
RP11-61A14.2	94	90	84	82	78	49
RP11-61A14.3	113	189	117	99	91	60
CDH16	7	6	3	9	5	9
RRAD	12	19	15	23	12	12
FAM96B	1077	1064	1035	1209	933	1045
CES2	824	845	795	812	732	652
CES3	10	9	6	5	17	18
CES4A	63	101	65	64	82	69
CBFB	1043	998	1031	1190	1046	1009
C16orf70	518	475	534	578	466	457
B3GNT9	236	235	213	275	232	175
TRADD	303	410	354	339	358	301
FBXL8	87	118	108	80	114	79
HSF4	126	187	105	125	161	155
NOL3	316	368	351	356	392	332
KIAA0895L	322	380	357	386	351	334
EXOC3L1	7	15	12	9	13	8
E2F4	2231	1845	2118	2199	1767	1943
ELMO3	76	73	88	97	94	99
LRRC29	28	15	20	22	17	21
TMEM208	317	303	298	290	301	273
FHOD1	583	582	701	595	535	580
SLC9A5	106	147	130	151	171	178
PLEKHG4	193	212	256	230	206	274
KCTD19	8	15	9	5	20	15
LRRC36	8	4	4	9	12	6
TPPP3	4	5	3	6	6	8
ZDHHC1	40	69	44	52	48	45
HSD11B2	10	11	12	12	17	15
RP11-297D21.2	0	0	1	0	0	0
ATP6V0D1	1184	1137	1165	1084	836	855
AGRP	6	1	0	0	1	4
FAM65A	966	824	943	1189	983	940
CTD-2012K14.2	2	1	1	0	0	0
CTD-2012K14.6	11	2	1	4	2	3
CTD-2012K14.7	5	6	2	6	1	4
CTCF	1322	1296	1478	1284	1144	1021
AC009095.4	2	3	3	5	2	4
RLTPR	17	16	18	19	22	21
ACD	748	611	678	663	539	542
PARD6A	165	166	135	144	126	80
ENKD1	221	248	259	208	224	220
C16orf86	8	9	8	11	7	5
GFOD2	454	473	450	436	354	349
RANBP10	737	670	713	635	499	562
TSNAXIP1	33	34	24	30	38	17
CENPT	626	720	695	691	607	571
THAP11	919	758	917	988	767	781
NUTF2	1635	1419	1554	1459	1262	1289
EDC4	1680	1313	1581	1776	1290	1361
CTC-479C5.10	11	4	9	12	4	15
NRN1L	0	0	0	1	0	0
PSKH1	372	367	397	287	236	261
CTRL	0	0	1	0	0	1
CTC-479C5.12	26	34	39	32	34	46
PSMB10	45	38	44	70	49	54
LCAT	64	79	89	61	61	79
SLC12A4	686	598	661	596	581	589
DPEP3	3	2	2	1	4	2
DPEP2	4	3	5	1	13	2
DUS2	453	440	487	414	346	415
CTC-479C5.6	2	0	0	0	1	1
DDX28	153	154	188	160	132	141
NFATC3	596	547	610	632	480	530
RP11-96D1.5	0	2	2	0	2	1
RP11-96D1.11	5	6	4	4	10	7
ESRP2	813	760	813	752	713	709
PLA2G15	422	376	407	390	292	297
RP11-96D1.7	1	2	1	0	1	0
SLC7A6	790	808	832	835	713	763
SLC7A6OS	196	147	185	218	191	177
PRMT7	687	695	803	793	682	687
SMPD3	53	52	44	34	45	43
ZFP90	364	444	359	259	295	288
RP11-615I2.1	0	2	2	1	1	2
CDH3	315	372	69	300	333	96
RP11-615I2.2	0	2	0	0	0	1
CDH1	166	323	109	221	396	99
RP11-354M1.2	0	1	0	0	0	0
TANGO6	287	293	321	288	268	256
RP11-521L9.1	0	0	0	0	1	1
HAS3	467	235	963	1177	557	1798
CHTF8	1718	1848	1893	2028	1740	1581
CIRH1A	1246	1223	1270	1402	1147	1213
SNTB2	660	754	619	828	717	667
VPS4A	888	921	924	780	708	660
COG8	259	229	305	346	265	275
PDF	230	210	231	202	194	177
NIP7	737	699	775	818	681	729
TMED6	4	4	4	4	6	6
TERF2	738	794	655	866	788	685
CYB5B	5635	7913	5988	6963	7872	7383
NFAT5	2162	2640	1953	2351	2822	2042
NQO1	3205	3389	3802	4055	4031	3853
CTD-2033A16.3	11	7	5	5	11	6
NOB1	747	766	773	1014	775	773
WWP2	853	802	761	576	500	568
CLEC18A	4	4	5	4	2	1
PDPR	1455	1418	1500	1548	1289	1285
RP11-296I10.3	144	155	163	140	118	149
CLEC18C	6	5	2	2	1	1
AC009060.1	2	0	3	2	0	0
FKSG63	0	0	0	1	1	0
EXOSC6	266	292	285	328	280	273
AARS	6098	5959	7053	5395	4598	5839
DDX19B	188	238	244	216	218	218
DDX19A	875	763	849	775	687	692
ST3GAL2	1518	1446	1352	1827	1510	1284
FUK	294	379	363	287	327	342
COG4	1288	1191	1263	984	862	914
SF3B3	5094	4468	5168	4912	4041	4451
RP11-49C24.1	8	8	12	16	12	12
IL34	9	7	14	9	17	14
MTSS1L	254	190	273	156	118	158
FLJ00418	2	9	6	5	1	7
VAC14	1153	1123	1206	1073	846	824
RP11-394B2.6	3	3	0	1	1	2
VAC14-AS1	13	6	5	10	9	11
RP11-424M24.5	2	1	0	2	0	1
HYDIN	36	28	36	22	52	46
RP11-23E19.1	1	0	1	0	3	1
RP11-23E19.2	0	0	0	1	0	0
CMTR2	410	376	447	595	461	548
CTD-2520I13.1	0	1	0	1	2	0
CALB2	14	15	30	12	19	25
RP11-510M2.1	0	0	0	0	3	1
ZNF23	23	22	23	27	22	28
RP11-510M2.2	3	5	0	3	2	1
ZNF19	21	17	18	17	19	17
RP11-510M2.6	1	0	0	1	1	1
CHST4	1	3	4	4	4	3
TAT	7	8	8	5	7	12
RP11-432I5.1	2	1	0	0	3	0
RP11-432I5.2	0	0	0	1	1	1
MARVELD3	6	6	2	10	9	5
PHLPP2	523	507	523	564	462	438
RP11-432I5.6	1	0	0	0	1	0
RP11-432I5.8	2	2	7	0	2	1
RP11-432I5.4	1	4	1	0	0	2
AP1G1	2503	2674	2487	2424	2302	2199
ATXN1L	1392	1328	1508	1252	970	1142
IST1	2139	2469	2065	2406	2205	2042
ZNF821	77	121	90	78	90	93
RP11-498D10.5	3	3	4	9	9	4
RP11-498D10.6	4	16	8	8	5	7
DHODH	327	335	376	425	391	357
TXNL4B	223	236	237	219	208	214
HP	1	2	1	5	7	6
HPR	3	4	2	0	3	2
RP11-384M15.3	1	0	0	0	0	0
DHX38	1658	1538	1618	1535	1331	1288
PMFBP1	14	17	22	17	17	27
RP11-328J14.1	3	2	0	2	0	1
AC004158.2	25	28	18	16	17	10
AC004158.3	2	2	0	0	3	1
RP5-991G20.1	27	29	34	27	18	19
ZFHX3	639	624	690	721	638	552
RP5-991G20.4	126	165	166	157	114	131
RP5-991G20.2	1	5	4	4	5	3
RP11-346C20.4	1	0	0	1	1	0
RP11-346C20.3	2	4	2	3	2	0
HCCAT5	4	1	1	1	2	3
C16orf47	3	1	2	1	1	5
AC140912.1	1	2	2	0	3	1
RP11-140I24.1	2	1	2	4	8	5
RP11-44L9.1	0	1	0	0	3	0
RP11-44L9.2	2	0	0	1	0	1
RP11-44L9.3	2	0	0	1	0	1
CTD-2009A10.1	0	1	0	1	2	1
RP11-53L24.1	0	0	1	1	1	1
AC009120.4	2	2	2	1	5	0
AC009120.10	1	0	0	0	3	0
PSMD7	1137	1138	1265	1103	1040	998
AC009120.6	49	44	42	44	50	42
AC009120.5	21	10	24	15	16	12
RP11-252A24.3	37	38	36	53	37	41
NPIPB15	1	2	2	1	4	2
CLEC18B	10	9	9	7	10	2
RP11-252A24.5	1	1	0	0	0	1
RP11-252A24.7	320	419	415	306	326	285
GLG1	2987	3167	3121	2623	2491	2372
RFWD3	1895	1595	2111	1914	1422	1684
MLKL	113	125	146	203	183	209
FA2H	4	1	4	3	2	9
WDR59	727	981	843	809	740	737
ZNRF1	504	459	450	515	367	381
LDHD	32	70	35	50	45	41
RP11-252E2.2	1	1	0	0	0	2
ZFP1	192	207	202	158	153	143
CTRB2	0	4	3	2	6	4
CTRB1	3	1	6	3	2	2
BCAR1	3956	3096	3959	4610	3470	3735
CFDP1	294	397	297	292	352	285
RP11-77K12.1	1	0	0	0	0	0
TMEM170A	159	195	190	297	278	289
RP11-77K12.4	0	0	1	1	0	0
CHST6	3	1	1	1	7	6
CHST5	2	0	1	2	1	4
TMEM231	289	298	284	228	225	189
GABARAPL2	680	918	728	651	669	576
ADAT1	566	504	537	626	495	485
KARS	3020	3112	3233	2467	2151	2102
TERF2IP	643	678	714	592	479	499
AC025287.1	0	3	1	0	1	3
RP11-2C15.1	0	0	1	2	3	1
RP11-293N14.1	0	0	1	2	2	3
RP11-150D5.2	2	1	2	1	4	1
CNTNAP4	8	9	5	5	16	8
RP11-96P7.1	1	2	3	1	3	2
CTD-2336H13.2	0	3	0	2	0	0
MON1B	1255	1352	1200	1337	1166	1127
SYCE1L	44	42	39	35	45	26
RP11-538I12.3	1	1	0	2	1	8
ADAMTS18	16	12	13	14	19	15
RP11-449J10.1	0	1	0	1	0	1
RP11-571O6.1	0	4	0	1	2	1
NUDT7	11	17	8	25	16	20
RP11-264M12.2	0	3	0	0	0	1
VAT1L	3	11	6	7	3	10
RP11-281J9.2	1	0	1	1	1	2
CLEC3A	0	3	2	5	6	5
WWOX	138	176	156	161	161	144
RP11-190D6.2	1	1	0	1	2	2
RP11-264L1.4	0	2	0	0	2	0
PIH1	0	1	2	0	0	0
RP11-679B19.2	0	0	1	0	0	0
RP11-467I17.1	1	1	1	0	1	1
MAF	6	5	5	0	12	5
RP11-345M22.1	7	2	2	6	5	3
RP11-345M22.2	3	1	2	4	5	2
RP11-345M22.3	0	2	0	0	1	2
RP11-148M9.1	0	0	1	2	0	2
RP11-525K10.1	2	0	0	1	4	1
RP11-525K10.3	2	2	3	3	4	3
RP11-525K10.2	1	0	0	1	3	2
DYNLRB2	2	1	0	3	4	1
RP11-109P11.1	0	2	1	0	0	2
RP11-18F14.1	3	2	3	2	6	0
CDYL2	31	65	19	38	47	17
CTD-2055G21.1	0	3	0	0	0	0
RP11-314O13.1	10	3	6	6	9	9
CMC2	287	383	344	256	257	235
CENPN	478	449	532	684	516	524
RP11-303E16.3	10	5	6	6	10	6
ATMIN	1000	1078	1058	1062	851	821
C16orf46	47	56	70	69	85	63
RP11-303E16.5	4	4	4	9	4	3
RP11-303E16.6	1	1	1	0	3	3
RP11-303E16.7	0	3	1	3	5	3
GCSH	425	465	500	461	414	397
BCMO1	8	3	3	7	6	5
RP11-55K13.1	7	14	8	9	10	6
GAN	294	269	275	401	357	387
CMIP	1255	1180	1499	1302	1050	1272
RP11-960L18.1	2	3	0	3	5	4
PLCG2	114	132	94	132	146	132
SDR42E1	4	3	2	7	12	3
HSD17B2	4	1	0	1	9	3
RP11-510J16.5	3	1	1	2	5	4
MPHOSPH6	276	322	316	363	406	296
CTD-2588J6.2	0	1	0	0	3	0
RP11-481E4.2	1	2	0	3	3	3
RP11-2L4.1	0	3	1	0	0	0
CDH13	15	14	14	13	15	14
CTD-3253I12.1	3	2	2	0	3	2
RP11-543N12.1	1	2	1	1	4	0
RP11-298D21.3	1	0	0	1	1	0
RP11-298D21.1	3	2	1	2	3	1
RP11-298D21.2	1	1	1	0	0	0
RP11-483P21.2	1	0	1	1	2	3
RP11-483P21.3	5	4	0	3	1	7
HSBP1	1568	1801	1471	1645	1592	1509
MLYCD	90	97	94	92	67	88
RP11-505K9.4	2	1	2	3	3	5
RP11-483P21.6	0	3	0	1	3	2
OSGIN1	314	180	399	427	248	510
NECAB2	4	9	10	7	10	7
SLC38A8	3	8	4	0	3	3
MBTPS1	3279	3482	3222	2710	2690	2418
RP11-505K9.1	7	4	2	4	5	4
HSDL1	643	779	672	723	640	565
DNAAF1	10	9	7	8	7	12
TAF1C	814	782	769	764	752	692
ADAD2	4	1	0	1	0	3
RP11-486L19.2	0	0	0	1	0	0
KCNG4	4	2	1	5	6	6
RP11-558A11.1	1	1	0	2	3	3
WFDC1	4	3	2	6	4	6
RP11-558A11.2	0	0	1	1	0	3
RP11-558A11.3	1	0	0	2	0	0
ATP2C2	15	15	15	16	16	19
RP11-517C16.2	5	8	5	2	6	20
TLDC1	767	659	846	932	729	848
RP11-517C16.4	4	3	1	1	1	2
COTL1	8711	7500	8869	9433	6223	8031
RP11-61F12.1	3	4	3	1	4	5
KLHL36	1070	1144	1063	1171	1085	975
USP10	2187	2059	2116	2401	1940	2030
CRISPLD2	356	218	223	566	462	320
RP11-254F19.3	3	0	2	1	1	1
ZDHHC7	2467	2556	2924	2304	2114	2238
KIAA0513	472	417	402	406	398	345
FAM92B	2	1	7	2	6	6
CTC-786C10.1	34	30	28	27	40	42
LINC00311	5	0	4	5	4	3
RP11-680G10.1	10	2	5	8	4	2
RP11-118F19.1	3	3	1	5	4	8
CTD-2542L18.1	4	6	7	5	10	4
GSE1	2444	2558	2191	2040	2102	1718
GINS2	401	410	429	441	375	359
C16orf74	11	28	11	17	32	12
RP11-568J23.4	0	2	1	0	0	1
EMC8	733	675	732	754	618	633
RP11-568J23.5	14	14	12	11	5	9
RP11-568J23.6	1	2	3	4	4	2
COX4I1	3295	3698	3865	4055	3606	3628
IRF8	9	7	5	5	4	7
RP11-542M13.3	1	0	0	2	0	0
RP11-542M13.2	0	2	1	0	1	0
RP11-805I24.1	7	5	4	3	11	9
RP11-805I24.4	0	2	3	0	1	0
RP11-805I24.3	3	3	2	0	4	3
LINC01082	1	0	0	0	1	2
RP11-514D23.3	1	1	1	0	1	1
LINC01081	0	4	1	2	2	2
RP11-514D23.1	4	3	1	0	2	1
LINC00917	4	1	4	5	5	4
RP11-158I3.3	1	3	2	1	0	3
FENDRR	4	6	6	4	13	7
FOXF1	2	1	2	3	5	3
RP11-463O9.9	1	4	1	1	6	3
MTHFSD	333	338	373	248	269	246
RP11-463O9.5	4	6	6	7	7	12
FOXC2	569	405	620	754	493	713
FOXL1	287	306	442	395	360	538
RP11-463O9.6	1	1	0	0	1	0
RP11-58A18.1	0	1	2	1	4	1
CTD-2015G9.1	1	0	1	0	0	1
CTD-2015G9.2	0	1	2	0	0	3
RP11-134D3.2	0	0	2	1	0	2
C16orf95	29	45	28	34	24	26
RP11-899L11.1	3	3	4	1	1	0
RP11-899L11.3	1	0	0	1	1	0
RP11-178L8.4	0	1	0	0	0	0
RP11-178L8.7	5	1	1	4	6	0
FBXO31	595	638	579	549	495	528
RP11-178L8.9	2	2	7	4	7	6
MAP1LC3B	1303	1601	1482	1169	1296	1260
RP11-178L8.3	1	1	2	2	5	3
ZCCHC14	1166	1106	1068	825	686	666
RP11-482M8.1	33	33	34	29	25	29
RP11-482M8.3	0	0	0	1	1	3
JPH3	13	6	12	17	13	16
AC010536.1	30	20	27	30	23	28
KLHDC4	846	804	841	742	678	676
FLJ00104	110	81	96	95	57	93
RP4-536B24.4	6	3	3	3	3	7
RP4-536B24.3	0	1	2	0	2	3
SLC7A5	22048	16892	21050	23415	15012	19320
RP4-536B24.2	8	4	7	3	5	2
CA5A	4	5	5	2	9	3
BANP	470	351	419	392	319	365
RP11-863P13.5	1	0	0	2	2	1
RP11-863P13.4	6	4	6	5	7	10
RP11-863P13.3	2	1	0	0	1	1
RP11-863P13.2	0	0	1	0	1	5
LA16c-444G7.2	1	1	0	0	2	1
LA16c-444G7.1	3	3	6	1	2	5
ZNF469	409	155	412	397	258	388
ZFPM1	91	78	107	119	111	118
RP11-21B21.4	3	3	5	7	4	5
ZC3H18	1747	1562	1812	1219	1188	1191
IL17C	3	1	1	1	1	1
CYBA	1304	1475	1570	1465	1429	1484
MVD	706	913	644	700	778	537
SNAI3-AS1	65	82	73	83	78	59
SNAI3	17	17	10	11	27	14
RNF166	323	288	336	374	290	305
CTU2	448	400	451	434	379	349
PIEZO1	4586	3857	4401	4532	3419	3715
RP5-1142A6.9	30	42	42	53	48	40
RP5-1142A6.2	26	28	33	24	36	29
RP5-1142A6.7	0	0	0	1	1	1
RP5-1142A6.8	2	3	2	1	4	3
CDT1	870	645	712	820	608	611
APRT	1429	1340	1333	1641	1289	1276
GALNS	1737	1826	1748	1788	1626	1458
AC092384.1	0	1	0	1	0	1
TRAPPC2L	636	610	728	749	641	591
PABPN1L	1	5	2	3	9	3
CBFA2T3	216	240	205	199	187	148
RP11-830F9.5	5	4	8	7	6	3
RP11-830F9.6	3	6	2	11	11	7
CTD-2555A7.1	2	1	1	0	0	2
CTD-2555A7.2	10	4	6	14	6	14
ACSF3	364	361	397	480	452	386
CTD-2555A7.3	3	4	0	2	4	3
LINC00304	2	2	6	4	7	7
RP11-46C24.3	1	0	2	2	2	2
CDH15	22	26	15	22	32	23
SLC22A31	26	48	51	42	95	62
RP11-46C24.7	17	13	8	8	20	15
ZNF778	263	223	258	228	181	211
RP11-46C24.5	7	5	9	5	4	5
ANKRD11	4747	3796	5371	3068	2818	3403
AC137932.1	62	48	59	49	45	57
AC137932.5	28	27	33	29	37	41
AC137932.6	27	16	25	25	24	40
SPG7	1754	1967	1702	1854	1775	1633
RP11-104N10.1	13	15	17	20	14	15
RPL13	8885	8607	9742	9672	7847	8688
CPNE7	700	676	973	719	731	908
DPEP1	20	16	9	16	10	10
CHMP1A	2019	1998	1900	1929	1643	1552
SPATA33	330	329	259	272	267	226
CDK10	739	721	740	718	741	683
RP11-368I7.4	5	13	16	13	9	18
SPATA2L	287	251	327	259	243	245
VPS9D1	118	110	121	107	118	97
VPS9D1-AS1	87	105	112	122	103	102
ZNF276	284	256	294	254	238	294
FANCA	757	723	764	872	690	669
SPIRE2	265	349	233	329	366	256
TCF25	1570	1442	1466	1658	1518	1454
MC1R	156	182	184	170	169	169
TUBB3	3942	4156	3778	3847	3689	2837
RP11-566K11.4	0	0	0	0	1	0
DEF8	962	848	1014	863	804	857
CENPBD1	94	99	81	65	58	54
DBNDD1	722	826	845	753	775	686
GAS8	597	652	582	435	478	414
C16orf3	2	11	7	4	13	11
PRDM7	6	6	6	5	6	11
RP11-356C4.3	1	1	0	0	1	0
RP11-356C4.5	1	1	1	0	1	1
AC137934.1	7	3	9	8	10	12
DOC2B	16	13	18	27	18	14
AC108004.2	0	5	1	2	1	4
RPH3AL	69	84	72	87	99	89
